Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,approx_sales,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Platform_year
213,Call of Duty: World at War,Shooter,M,PS3,Activision,Treyarch,8.4,,5.43,,5.43,2.75,1.84,,0.84,2008,3
214,Super Mario Advance 4: Super Mario Bros. 3,Platform,E,GBA,Nintendo,Nintendo EAD,9.2,,5.43,5.43,,,,,,2003,3
215,Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,Universal Interactive,Traveller's Tales,6.9,,5.42,,5.42,2.07,2.29,0.24,0.82,2001,2
216,The Witcher 3: Wild Hunt,Role-Playing,M,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,,,5.39,,5.39,1.48,2.82,0.28,0.81,2015,3
217,Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,Square Enix,8,9.2,5.35,,5.35,1.75,1.23,1.87,0.51,2010,5
218,Gran Turismo 5 Prologue,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,5.35,5.35,,,,,,2008,3
219,Super Smash Bros. for Wii U,Fighting,E10,WiiU,Nintendo,Bandai Namco Games,9.2,,5.35,5.35,,,,,,2014,3
220,Dr. Mario,Puzzle,,GB,Nintendo,Nintendo R&D1,,,5.34,5.34,,,,,,1990,2
221,Assassin's Creed III,Action-Adventure,M,X360,Ubisoft,Ubisoft Montreal,,,5.31,,5.31,3.13,1.71,0.03,0.45,2012,8
222,Pokemon Pinball,Misc,E,GBC,Nintendo,Jupiter Corporation,8.7,,5.31,5.31,,,,,,1999,2
223,Assassin's Creed II,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,5.3,,5.3,3.14,1.55,0.08,0.52,2009,5
